ID,type,descr,city,suburb,year,geo
77,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.204371 -33.870982)
79,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.214169 -33.885402)
80,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.21697 -33.88022)
81,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.202749 -33.877137)
82,Assault,Non-domestic violence related assault,Sydney,WATERLOO,2013,POINT (151.20233 -33.8984)
83,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20748 -33.86363)
84,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.217546 -33.880877)
85,Assault,Non-domestic violence related assault,Sydney,THE ROCKS,2013,POINT (151.20849 -33.86097)
86,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20999 -33.86968)
87,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.222411 -33.872069)
88,Assault,Non-domestic violence related assault,Sydney,MOORE PARK,2013,POINT (151.221407 -33.89471)
89,Assault,Non-domestic violence related assault,Sydney,WATERLOO,2013,POINT (151.20213 -33.90344)
90,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.2231 -33.874915)
93,Assault,Non-domestic violence related assault,Sydney,GLEBE,2013,POINT (151.189375 -33.87924)
94,Assault,Non-domestic violence related assault,Sydney,PYRMONT,2013,POINT (151.19499 -33.8664)
96,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.22249 -33.87483)
97,Assault,Non-domestic violence related assault,Sydney,MOORE PARK,2013,POINT (151.222051 -33.897535)
98,Assault,Non-domestic violence related assault,Sydney,WOOLLOOMOOLOO,2013,POINT (151.219533 -33.874756)
99,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.204712 -33.876825)
100,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.202577 -33.868099)
101,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.21334 -33.88882)
103,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20241 -33.865625)
104,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.216705 -33.881045)
106,Assault,Non-domestic violence related assault,Sydney,DAWES POINT,2013,POINT (151.207123 -33.855745)
107,Assault,Non-domestic violence related assault,Sydney,MOORE PARK,2013,POINT (151.222051 -33.897535)
109,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.205773 -33.867406)
110,Assault,Non-domestic violence related assault,Sydney,ALEXANDRIA,2013,POINT (151.19772 -33.9009)
111,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20161 -33.875665)
112,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20161 -33.875665)
113,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20161 -33.875665)
116,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.21416 -33.87001)
117,Assault,Non-domestic violence related assault,Sydney,PADDINGTON,2013,POINT (151.21853 -33.885883)
118,Assault,Non-domestic violence related assault,Sydney,REDFERN,2013,POINT (151.209705 -33.893565)
119,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.21568 -33.8829)
120,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.22212 -33.8752)
122,Assault,Non-domestic violence related assault,Sydney,NEWTOWN,2013,POINT (151.18352 -33.89348)
123,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.208278 -33.869901)
124,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20949 -33.8636)
125,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20398 -33.86386)
126,Assault,Non-domestic violence related assault,Sydney,REDFERN,2013,POINT (151.20918 -33.89047)
127,Assault,Non-domestic violence related assault,Sydney,THE ROCKS,2013,POINT (151.20849 -33.86097)
128,Assault,Non-domestic violence related assault,Sydney,PYRMONT,2013,POINT (151.1927 -33.8693)
129,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.222425 -33.87488)
130,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20653 -33.874968)
131,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20653 -33.874968)
133,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.207388 -33.881431)
134,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.207388 -33.881431)
135,Assault,Non-domestic violence related assault,Sydney,MOORE PARK,2013,POINT (151.222194 -33.894853)
136,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20617 -33.87639)
137,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.2222 -33.87486)
138,Assault,Non-domestic violence related assault,Sydney,WOOLLOOMOOLOO,2013,POINT (151.21891 -33.87077)
139,Assault,Non-domestic violence related assault,Sydney,ALEXANDRIA,2013,POINT (151.184578 -33.910341)
140,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.224432 -33.873659)
141,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.21342 -33.88612)
142,Assault,Non-domestic violence related assault,Sydney,GLEBE,2013,POINT (151.191605 -33.87891)
143,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.20407 -33.88296)
144,Assault,Non-domestic violence related assault,Sydney,REDFERN,2013,POINT (151.209705 -33.893565)
145,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20997 -33.864315)
146,Assault,Non-domestic violence related assault,Sydney,GLEBE,2013,POINT (151.190602 -33.876312)
147,Assault,Non-domestic violence related assault,Sydney,PYRMONT,2013,POINT (151.195564 -33.875439)
148,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.212795 -33.89155)
149,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.212795 -33.89155)
150,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.2231 -33.874915)
151,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20696 -33.8708)
152,Assault,Non-domestic violence related assault,Sydney,CAMPERDOWN,2013,POINT (151.194775 -33.884502)
153,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.211768 -33.871084)
154,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.213847 -33.878128)
155,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.20899 -33.88372)
156,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20701 -33.87296)
157,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20701 -33.87296)
158,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.2231 -33.874915)
159,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.2231 -33.874915)
160,Assault,Non-domestic violence related assault,Sydney,ULTIMO,2013,POINT (151.19621 -33.87564)
161,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.22466 -33.87154)
162,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.207388 -33.881431)
164,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.223031 -33.874149)
166,Assault,Non-domestic violence related assault,Sydney,PYRMONT,2013,POINT (151.195785 -33.867433)
167,Assault,Non-domestic violence related assault,Sydney,ULTIMO,2013,POINT (151.19505 -33.88393)
168,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.22148 -33.877516)
169,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.200114 -33.870488)
170,Assault,Non-domestic violence related assault,Sydney,PYRMONT,2013,POINT (151.19269 -33.8693)
171,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.202168 -33.871902)
172,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.21218 -33.86789)
173,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.224535 -33.868861)
174,Assault,Non-domestic violence related assault,Sydney,THE ROCKS,2013,POINT (151.20849 -33.86097)
