FID,state,division_id,division_name,polling_place_id,polling_place_type_id,polling_place_name,premises_name,premises_address_1,premises_address_2,premises_address_3,premises_suburb,premises_state_abbreviation,premises_post_code,geom
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-30e1,NSW,103,Banks,58,1,Oatley,Oatley Public School,51 Letitia St,,,OATLEY,NSW,2223.0,POINT (151.081 -33.9847)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-308c,NSW,111,Chifley,392,1,Dharruk,Dawson Public School,7 Stuart Rd,,,DHARRUK,NSW,2770.0,POINT (150.817 -33.7475)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3069,NSW,103,Banks,31,1,Allawah,PJ Ferry Reserve Community Hall,147B Bellevue Pde,,,ALLAWAH,NSW,2218.0,POINT (151.1148974 -33.9767897)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3068,NSW,103,Banks,67,1,Allawah South,St Raphael's Church Hall,84 George St,,,SOUTH HURSTVILLE,NSW,2221.0,POINT (151.111 -33.9756)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3067,NSW,103,Banks,56500,1,Beverly Hills North (Banks),Beverly Hills North Public School,1-3 Shorter Ave,,,BEVERLY HILLS,NSW,2209.0,POINT (151.075 -33.9413)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3066,NSW,103,Banks,79612,1,Beverly Hills South (Banks),Beverly Hills Public School,562 King Georges Rd,,,BEVERLY HILLS,NSW,2209.0,POINT (151.085 -33.9528)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3065,NSW,103,Banks,46,1,Blakehurst North,Blakehurst High School,270A Woniora Rd,,,BLAKEHURST,NSW,2221.0,POINT (151.113 -33.9814)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3064,NSW,103,Banks,65425,5,BLV Banks PPVC,BLV Banks,"Level 1, 145 Forest Rd",,,HURSTVILLE,NSW,2220.0,POINT (151.1065776 -33.9674459)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3063,NSW,103,Banks,56472,1,Carlton South (Banks),Carlton South Public School,67 Jubilee Ave,,,CARLTON,NSW,2218.0,POINT (151.128 -33.9727)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3062,NSW,103,Banks,65,1,Carlton West,St Cuthbert's Church Hall,34 Park Rd,,,CARLTON,NSW,2218.0,POINT (151.1206652 -33.9763447)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3061,NSW,103,Banks,42,1,Connells Point (Banks),Connells Point Public School,Riverview Ave,,,CONNELLS POINT,NSW,2221.0,POINT (151.1 -33.9855)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3060,NSW,103,Banks,30094,5,Divisional Office (PREPOLL),Divisional Office,Level 1,145 Forest Road,,HURSTVILLE,NSW,2220.0,POINT (151.1064478 -33.9676291)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-305f,NSW,103,Banks,2,1,East Hills,1st East Hills Scout Hall,629 Henry Lawson Dr,,,EAST HILLS,NSW,2213.0,POINT (150.982054 -33.9611817)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-305e,NSW,103,Banks,79613,1,Hurstville (Banks),Hurstville Senior Citizens Centre,91 Queens Rd,,,HURSTVILLE,NSW,2220.0,POINT (151.102 -33.9642)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-305d,NSW,103,Banks,34046,5,Hurstville BANKS PPVC,"Level 1, 8 Woodville St",,,,HURSTVILLE,NSW,2220.0,POINT (151.1068363 -33.9663791)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-305c,NSW,103,Banks,79614,1,Hurstville East (Banks),Hurstville Public School,72 Forest Rd,,,HURSTVILLE,NSW,2220.0,POINT (151.111 -33.9641)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-305b,NSW,103,Banks,45,1,Hurstville Grove,Hurstville Grove Infants School,81 Lansdowne St,,,PENSHURST,NSW,2222.0,POINT (151.0909386 -33.9729154)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-305a,NSW,103,Banks,43,1,Hurstville South,Hurstville South Public School,38-48 Maher St,,,HURSTVILLE,NSW,2220.0,POINT (151.099 -33.9726)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3059,NSW,103,Banks,4,1,Lugarno,Lugarno Public School,38 Old Forest Rd,,,LUGARNO,NSW,2210.0,POINT (151.0454806 -33.985015)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3058,NSW,103,Banks,55,1,Mortdale Central,Mortdale Community Centre,2B Boundary Rd,,,MORTDALE,NSW,2223.0,POINT (151.0781603 -33.9748397)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3057,NSW,103,Banks,56,1,Mortdale East,Mortdale Public School,Coleborne Ave,,,MORTDALE,NSW,2223.0,POINT (151.081 -33.9727)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3056,NSW,103,Banks,5,1,Mortdale West,Penshurst West Public School,Scott St,,,MORTDALE,NSW,2223.0,POINT (151.0731878 -33.9615619)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3055,NSW,103,Banks,6,1,Narwee,Narwee Public School,61-65 Broad Arrow Rd,,,NARWEE,NSW,2209.0,POINT (151.069 -33.9482)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3054,NSW,103,Banks,83630,1,Oatley East,Oatley Anglican Church Hall,57 Rosa St,,,OATLEY,NSW,2223.0,POINT (151.082371 -33.9841934)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3053,NSW,103,Banks,59,1,Oatley West,Oatley West Public School,Oatley Park Ave,,,OATLEY,NSW,2223.0,POINT (151.065 -33.9796)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3052,NSW,103,Banks,7,1,Padstow,Padstow Park Public School,Segers Ave,,,PADSTOW,NSW,2211.0,POINT (151.031 -33.9542)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3051,NSW,103,Banks,83624,1,Padstow Central,Padstow Congregational Church Hall,59 Faraday Rd,,,PADSTOW,NSW,2211.0,POINT (151.031707 -33.95572)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3050,NSW,103,Banks,8,1,Padstow East,Padstow Senior Citizens Centre,17 Cahors Rd,,,PADSTOW,NSW,2211.0,POINT (151.03 -33.949)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-304f,NSW,103,Banks,58722,5,Padstow PPVC,Padstow TAFE,Block C Dining Room,Raine Rd,,PADSTOW,NSW,2211.0,POINT (151.0259414 -33.9480237)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-304e,NSW,103,Banks,10,1,Padstow South,Padstow Heights Public School,94 Chamberlain Rd,,,PADSTOW HEIGHTS,NSW,2211.0,POINT (151.0305364 -33.9664348)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-304d,NSW,103,Banks,11,1,Panania,Panania Senior Citizens Centre,77 Anderson Ave,,,PANANIA,NSW,2213.0,POINT (150.999 -33.9551)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-304c,NSW,103,Banks,12,1,Panania Central,2nd Panania Scouts Hall,21 Wilson St,,,PANANIA,NSW,2213.0,POINT (150.998 -33.9519)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-304b,NSW,103,Banks,13,1,Panania North,Panania North Public School,202-204 Bransgrove Rd,,,PANANIA,NSW,2213.0,POINT (150.999 -33.9451)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-304a,NSW,103,Banks,14,1,Panania South,Panania Public School,21A Lawler St,,,PANANIA,NSW,2213.0,POINT (151 -33.9661)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3049,NSW,103,Banks,16,1,Peakhurst East,Peakhurst Public School,65A Bonds Rd,,,PEAKHURST,NSW,2210.0,POINT (151.061 -33.9553)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3048,NSW,103,Banks,17,1,Peakhurst South,Peakhurst South Public School,45 Pindari Rd,,,PEAKHURST HEIGHTS,NSW,2210.0,POINT (151.0555257 -33.9728147)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3047,NSW,103,Banks,18,1,Peakhurst West,Peakhurst West Public School,Ogilvy St,,,PEAKHURST,NSW,2210.0,POINT (151.0489593 -33.9616492)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3046,NSW,103,Banks,19,1,Penshurst,Wesley Penshurst Uniting Church Hall,96 Penshurst St,,,PENSHURST,NSW,2222.0,POINT (151.086054 -33.962239)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3045,NSW,103,Banks,60,1,Penshurst Central,Penshurst Girls Campus,2 Austral St,,,PENSHURST,NSW,2222.0,POINT (151.087 -33.9641)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3044,NSW,103,Banks,22,1,Picnic Point North,Picnic Point High School,61 Kennedy St,,,PICNIC POINT,NSW,2213.0,POINT (151.01 -33.9649)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3043,NSW,103,Banks,83635,1,Picnic Point South,1st Picnic Point Scout Hall,23 Carinya Rd,,,PICNIC POINT,NSW,2213.0,POINT (150.9967331 -33.9804039)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3042,NSW,103,Banks,57281,1,Revesby,Revesby YMCA,184 The River Rd,,,REVESBY,NSW,2212.0,POINT (151.0166996 -33.9542157)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3041,NSW,103,Banks,25,1,Revesby North (Banks),Revesby Public School,67 Victoria St,,,REVESBY,NSW,2212.0,POINT (151.017 -33.9447)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3040,NSW,103,Banks,26,1,Revesby South,Revesby South Public School,Mars St,,,REVESBY,NSW,2212.0,POINT (151.017 -33.9605)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-303f,NSW,103,Banks,3,1,Riverwood East (Banks),Hannans Road Public School,32 Hannans Rd,,,RIVERWOOD,NSW,2210.0,POINT (151.058 -33.9459)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-303e,NSW,103,Banks,27,1,Riverwood North,Riverwood Public School,11 Union St,,,RIVERWOOD,NSW,2210.0,POINT (151.047088 -33.9476795)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-303d,NSW,103,Banks,28,1,Riverwood South,St Andrew's Church Hall,9 Littleton St,,,RIVERWOOD,NSW,2210.0,POINT (151.0532173 -33.9524734)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-303b,NSW,103,Banks,14011,1,Sydney (Banks),Sydney Town Hall,George St,,,SYDNEY,NSW,2000.0,POINT (151.2064528 -33.8730501)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-303a,NSW,103,Banks,97610,5,Sydney BANKS PPVC,Royal Exchange Building,9/56 Pitt St,,,SYDNEY,NSW,2000.0,POINT (151.2092587 -33.8638565)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3039,NSW,104,Barton,32,1,Arncliffe,Arncliffe Community Centre Coronation Hall,23 Barden St,,,ARNCLIFFE,NSW,2205.0,POINT (151.144 -33.938)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3038,NSW,104,Barton,34,1,Arncliffe Central,Arncliffe Public School,168 Princes Hwy,,,ARNCLIFFE,NSW,2205.0,POINT (151.147 -33.9406)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3037,NSW,104,Barton,83610,1,Arncliffe North,Bayside Anglican Church,54 Forest Rd,,,ARNCLIFFE,NSW,2205.0,POINT (151.143493 -33.939642)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3036,NSW,104,Barton,2642,1,Arncliffe West,Athelstane Public School,2 Athelstane Ave,,,ARNCLIFFE,NSW,2205.0,POINT (151.138 -33.9374)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3035,NSW,104,Barton,2643,1,Bardwell Park,Bardwell Park Infants School,4 Crewe Lane,,,BARDWELL PARK,NSW,2207.0,POINT (151.125 -33.9338)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3034,NSW,104,Barton,65982,5,Belmore BARTON PPVC,Belmore Church of Christ,476 Burwood Rd,,,BELMORE,NSW,2192.0,POINT (151.104419 -33.913395)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3033,NSW,104,Barton,2645,1,Beverly Hills,St Bede's Anglican Church Hall,119 Morgan St,,,BEVERLY HILLS,NSW,2209.0,POINT (151.083 -33.9492)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3032,NSW,104,Barton,2670,1,Beverly Hills Central,Beverly Hills Uniting Church Hall,82 Ponyara Rd,,,BEVERLY HILLS,NSW,2209.0,POINT (151.079 -33.947)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3031,NSW,104,Barton,2646,1,Beverly Hills South (Barton),Beverly Hills Public School,562 King Georges Rd,,,BEVERLY HILLS,NSW,2209.0,POINT (151.085 -33.9528)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3030,NSW,104,Barton,2647,1,Bexley,Bexley Baptist Church,484 Forest Rd,,,BEXLEY,NSW,2207.0,POINT (151.125 -33.9515)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-302f,NSW,104,Barton,2640,1,Bexley East,Bexley Public School,330-354 Forest Rd,,,BEXLEY,NSW,2207.0,POINT (151.128 -33.9467)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-302e,NSW,104,Barton,2649,1,Bexley North,Bexley North Public School,116 Kingsland Rd,,,BEXLEY NORTH,NSW,2207.0,POINT (151.121 -33.9407)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-302d,NSW,104,Barton,2662,1,Bexley North Park,Kingsgrove/Bexley North Community Centre,54A Shaw St,,,BEXLEY NORTH,NSW,2207.0,POINT (151.109 -33.9383)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-302c,NSW,104,Barton,83607,1,Bexley South,Sydney Technical High School,686 Forest Rd,,,BEXLEY,NSW,2207.0,POINT (151.113 -33.9625)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-302b,NSW,104,Barton,2650,1,Bexley West,Bexley West Uniting Church Hall,80A St Georges Rd,,,BEXLEY,NSW,2207.0,POINT (151.114 -33.9522)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-302a,NSW,104,Barton,65449,5,BLV Barton PPVC,BLV Barton,"Lvl 2, 21 King St",,,ROCKDALE,NSW,2216.0,POINT (151.1392016 -33.9527866)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3029,NSW,104,Barton,38,1,Brighton-Le-Sands (Barton),Brighton-Le-Sands Public School,35 Crawford Rd,,,BRIGHTON-LE-SANDS,NSW,2216.0,POINT (151.148 -33.9627)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3028,NSW,104,Barton,83605,1,Brighton North,St Mark's Anglican Church Hall,3 Trafalgar St,,,BRIGHTON-LE-SANDS,NSW,2216.0,POINT (151.154 -33.9605)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3027,NSW,104,Barton,2652,1,Canterbury South,Canterbury South Public School,20 High St,,,CANTERBURY,NSW,2193.0,POINT (151.116 -33.9175)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3026,NSW,104,Barton,2653,1,Carlton,Carlton Public School,60 Cameron St,,,BEXLEY,NSW,2207.0,POINT (151.124 -33.9624)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3025,NSW,104,Barton,47,1,Carlton South (Barton),Carlton South Public School,67 Jubilee Ave,,,CARLTON,NSW,2218.0,POINT (151.128 -33.9727)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3024,NSW,104,Barton,97585,5,Central Sydney BARTON PPVC,Central Railway Station,Cnr of Eddy Ave & Pitt St,Ground Floor,Former Coach Terminal,HAYMARKET,NSW,2000.0,POINT (151.2063239 -33.8824351)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3023,NSW,104,Barton,2656,1,Clemton Park,Clemton Park Public School,185 Bexley Rd,,,KINGSGROVE,NSW,2208.0,POINT (151.10897 -33.92951)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3022,NSW,104,Barton,83606,1,Clemton Park West,Clemton Park Baptist Church,9 Shackel Ave,,,KINGSGROVE,NSW,2208.0,POINT (151.099589 -33.9303611)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3021,NSW,104,Barton,30095,5,Divisional Office (PREPOLL),Divisional Office,Level 2,21 King St,,ROCKDALE,NSW,2216.0,POINT (151.1391306 -33.9529008)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3020,NSW,104,Barton,83609,1,Earlwood,Earlwood Uniting Church Hall,16 William Street,,,EARLWOOD,NSW,2206.0,POINT (151.123 -33.9274)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-301f,NSW,104,Barton,2660,1,Earlwood Central,Our Lady of Lourdes Church Hall,St James Ave,,,EARLWOOD,NSW,2206.0,POINT (151.127 -33.9281)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-301e,NSW,104,Barton,2661,1,Earlwood South,Earlwood Public School,396 Homer St,,,EARLWOOD,NSW,2206.0,POINT (151.124 -33.9283)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-301d,NSW,104,Barton,79724,1,Hurlstone Park (Barton),Creative Dance Co,67 Duntroon St,,,HURLSTONE PARK,NSW,2193.0,POINT (151.132444 -33.908507)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-301c,NSW,104,Barton,2663,1,Hurstville (Barton),Hurstville Senior Citizens Centre,91 Queens Rd,,,HURSTVILLE,NSW,2220.0,POINT (151.102 -33.9642)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-301b,NSW,104,Barton,65171,5,Hurstville BARTON PPVC,"Level 1, 8 Woodville St",,,,HURSTVILLE,NSW,2220.0,POINT (151.1031761 -33.9649241)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-301a,NSW,104,Barton,2664,1,Hurstville East (Barton),Hurstville Public School,72 Forest Rd,,,HURSTVILLE,NSW,2220.0,POINT (151.111 -33.9641)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3019,NSW,104,Barton,2665,1,Hurstville North,Kingsway Scout Hall,74 Barnards Ave,,,HURSTVILLE,NSW,2220.0,POINT (151.096 -33.9544)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3018,NSW,104,Barton,2666,1,Kingsgrove,South-West Evangelical Church Hall,4 Morgan St,,,KINGSGROVE,NSW,2208.0,POINT (151.103 -33.9401)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3017,NSW,104,Barton,79715,1,Kingsgrove North (Barton),Kingsgrove North High School,2 St Albans Rd,,,KINGSGROVE,NSW,2208.0,POINT (151.09621 -33.93385)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3016,NSW,104,Barton,2667,1,Kingsgrove South,Kingsgrove High School,Kingsgrove Rd,,,KINGSGROVE,NSW,2208.0,POINT (151.102 -33.9494)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3015,NSW,104,Barton,50,1,Kogarah Central,Kogarah High School,22A Gladstone St,,,KOGARAH,NSW,2217.0,POINT (151.136 -33.9616)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3014,NSW,104,Barton,51,1,Kyeemagh,Kyeemagh Public School,cnr Jacobson Ave & Beehag St,,,KYEEMAGH,NSW,2216.0,POINT (151.161 -33.9497)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3013,NSW,104,Barton,65249,5,Marrickville BARTON PPVC,Marrickville Town Hall,303 Marrickville Rd,,,MARRICKVILLE,NSW,2204.0,POINT (151.161852 -33.913688)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3012,NSW,104,Barton,1016,1,Marrickville Park,Marrickville Uniting Church,388 Illawarra Rd,,,MARRICKVILLE,NSW,2204.0,POINT (151.1503777 -33.9154803)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3011,NSW,104,Barton,1010,1,Marrickville South,Ferncourt Public School,74 Premier St,,,MARRICKVILLE,NSW,2204.0,POINT (151.152 -33.9207)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3010,NSW,104,Barton,1011,1,Marrickville West,Marrickville West Public School,cnr Beauchamp St & Livingstone Rd,,,MARRICKVILLE,NSW,2204.0,POINT (151.146 -33.9144)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-300f,NSW,104,Barton,62,1,Rockdale,Rockdale Public School,4 Lord St,,,ROCKDALE,NSW,2216.0,POINT (151.142 -33.9527)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-300e,NSW,104,Barton,33869,5,Rockdale BARTON PPVC,"Ground Level, 81 Railway St",,,,ROCKDALE,NSW,2216.0,POINT (151.1364055 -33.9512665)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-300d,NSW,104,Barton,63,1,Rockdale Central,Rockdale Uniting Church Hall,5 Bay St,,,ROCKDALE,NSW,2216.0,POINT (151.139 -33.9537)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-300c,NSW,104,Barton,83616,1,Rockdale City,Rockdale Harvest Church of Christ,3-5 Bryant St,,,ROCKDALE,NSW,2216.0,POINT (151.139653 -33.9505248)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-300b,NSW,104,Barton,2671,1,Rockdale West,St Joseph's Parish Centre,13 Parker St,,,ROCKDALE,NSW,2216.0,POINT (151.136 -33.9504)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-300a,NSW,104,Barton,14014,1,Sydney (Barton),Sydney Town Hall,George St,,,SYDNEY,NSW,2000.0,POINT (151.2064528 -33.8730501)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3009,NSW,104,Barton,97609,5,Sydney BARTON PPVC,Royal Exchange Building,9/56 Pitt St,,,SYDNEY,NSW,2000.0,POINT (151.2092587 -33.8638565)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3008,NSW,104,Barton,1470,1,Tempe,Tempe High School,119 Unwins Bridge Rd,,,TEMPE,NSW,2044.0,POINT (151.1610947 -33.919948)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3007,NSW,104,Barton,2641,1,Turrella,Arncliffe West Infants School,7 Loftus St,,,TURRELLA,NSW,2205.0,POINT (151.1452122 -33.931874)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3006,NSW,104,Barton,2673,1,Undercliffe,Undercliffe Public School,143 Bayview Ave,,,EARLWOOD,NSW,2206.0,POINT (151.139 -33.9244)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3005,NSW,105,Bennelong,65453,5,BLV Bennelong PPVC,BLV Bennelong,"Level 12, 67 Albert Ave",,,CHATSWOOD,NSW,2067.0,POINT (151.1818539 -33.7981824)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3004,NSW,105,Bennelong,634,1,Carlingford (Bennelong),Carlingford Public School,5 Rickard St,,,CARLINGFORD,NSW,2118.0,POINT (151.0553219 -33.7800229)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3003,NSW,105,Bennelong,33926,1,Carlingford East,Roselea Public School,549 North Rocks Rd,,,CARLINGFORD,NSW,2118.0,POINT (151.053 -33.7654)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3002,NSW,105,Bennelong,97587,5,Central Sydney BENNELONG PPVC,Central Railway Station,Cnr of Eddy Ave & Pitt St,Ground Floor,Former Coach Terminal,HAYMARKET,NSW,2000.0,POINT (151.2063239 -33.8824351)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3001,NSW,105,Bennelong,65177,5,Chatswood BENNELONG PPVC,Old Sydney Water Board Building,Albert Ave,Stair Access via Rose Garden,Lift Access Near Woolies to Lvl D,CHATSWOOD,NSW,2067.0,POINT (151.1818539 -33.7981824)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-3000,NSW,105,Bennelong,638,1,Denistone,Eastwood Baptist Hall,3 First Ave,,,EASTWOOD,NSW,2122.0,POINT (151.08353 -33.79244)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-2fff,NSW,105,Bennelong,639,1,Denistone East,Denistone East Public School,63 Lovell Rd,,,DENISTONE EAST,NSW,2112.0,POINT (151.097 -33.7935)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-2ffe,NSW,109,Calare,286,1,Orange North,Kenna Hall,88 Hill St,,,ORANGE,NSW,2800.0,POINT (149.0946465 -33.2798185)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-2ffd,NSW,105,Bennelong,83564,1,Denistone South,West Ryde Anglican Church,14 Bellevue Ave,,,WEST RYDE,NSW,2114.0,POINT (151.08318 -33.8056266)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-2ffc,NSW,105,Bennelong,647,1,Denistone West,Marsden High School,22A Winbourne St,,,WEST RYDE,NSW,2114.0,POINT (151.07 -33.8036)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-2ffb,NSW,105,Bennelong,30096,5,Divisional Office (PREPOLL),Divisional Office,Level 12,67 Albert Ave,,CHATSWOOD,NSW,2067.0,POINT (151.1819191 -33.7982897)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-2ffa,NSW,105,Bennelong,105,1,East Ryde,Ryde East Public School,12 Twin Rd,,,NORTH RYDE,NSW,2113.0,POINT (151.1268905 -33.8063669)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-2ff9,NSW,105,Bennelong,33877,1,East Ryde Central,Ryde Secondary College,5 Malvina St,,,RYDE,NSW,2112.0,POINT (151.1200494 -33.8133913)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-2ff8,NSW,105,Bennelong,83497,1,East Ryde Heights,East Ryde Scout Hall,27A John Miller St,,,RYDE,NSW,2112.0,POINT (151.126175 -33.8086005)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-2ff7,NSW,105,Bennelong,642,1,Eastwood,Eastwood Public School,212-280 Rowe St,,,EASTWOOD,NSW,2122.0,POINT (151.078 -33.7928)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-2ff6,NSW,105,Bennelong,80,1,Eastwood Heights,Eastwood Heights Public School,9A Lincoln St,,,EASTWOOD,NSW,2122.0,POINT (151.096 -33.7817)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-2ff5,NSW,105,Bennelong,83568,5,Eastwood PPVC,"Ground Floor, 3-5 Trelawney St",,,,EASTWOOD,NSW,2122.0,POINT (151.0795811 -33.792735)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-2ff4,NSW,105,Bennelong,643,1,Eastwood West,Corrective Services Academy,66 Terry Rd,,,EASTWOOD,NSW,2122.0,POINT (151.067 -33.7906)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-2ff3,NSW,105,Bennelong,83198,1,Epping,Epping Church of Christ,31 Bridge St,,,EPPING,NSW,2121.0,POINT (151.079 -33.7745)
aec_federal_election_polling_places_2019.fid-492f303f_1873b973d45_-2ff2,NSW,105,Bennelong,81,1,Epping East,Epping Public School,1-18 Norfolk Rd,,,EPPING,NSW,2121.0,POINT (151.0871472 -33.768408)
