sa2_code,sa2_name,area_m2,total_cars
116011626,Seven Hills - Prospect,7.5851,10292.0
116011627,Toongabbie - West,3.2406,7426.0
116021309,Glenwood,5.1186,9480.0
116021562,Acacia Gardens,0.9466,2379.0
116021563,Quakers Hill,7.7674,15571.0
116021628,Kellyville Ridge - The Ponds,5.9124,14451.0
116021629,Marsden Park - Shanes Park,25.0406,971.0
116021630,Riverstone,32.1656,10335.0
116021631,Schofields (West) - Colebee,10.5499,3987.0
116021632,Schofields - East,11.6638,7259.0
116021633,Stanhope Gardens - Parklea,3.9008,8389.0
116031313,Bidwill - Hebersham - Emerton,6.095,10765.0
116031314,Glendenning - Dean Park,5.1425,6224.0
116031315,Hassall Grove - Plumpton,6.2052,15371.0
116031316,Lethbridge Park - Tregear,11.2672,12827.0
116031317,Mount Druitt - Whalan,8.6855,13249.0
116031318,Prospect Reservoir,29.8693,36.0
116031319,Rooty Hill - Minchinbury,14.6242,14999.0
117011320,Banksmeadow,3.9384,24.0
117011321,Botany,3.4307,12165.0
117011323,Pagewood - Hillsdale - Daceyville,3.1186,7037.0
117011324,Port Botany Industrial,2.8044,4.0
117011325,Sydney Airport,8.9106,126.0
117011634,Eastlakes,3.1149,14609.0
117011635,Mascot,3.0501,21835.0
117021327,Petersham - Stanmore,3.0033,10603.0
117021328,Sydenham - Tempe - St Peters,3.8539,5973.0
117021636,Marrickville - North,2.8199,6820.0
117021637,Marrickville - South,2.9929,8542.0
117031329,Darlinghurst,0.8569,4781.0
117031330,Erskineville - Alexandria,4.3199,13101.0
117031331,Glebe - Forest Lodge,2.3018,9685.0
117031333,Potts Point - Woolloomooloo,1.4636,10504.0
117031336,Surry Hills,1.3164,6923.0
117031638,Camperdown - Darlington,1.7106,3977.0
117031639,Chippendale,0.4642,3320.0
117031640,Newtown (NSW),1.5707,6016.0
117031641,Pyrmont,0.9299,5424.0
117031642,Redfern,1.6989,5560.0
117031643,Rosebery - Beaconsfield,1.6423,4710.0
117031644,Sydney (North) - Millers Point,3.2122,6656.0
117031645,Sydney (South) - Haymarket,1.081,17127.0
117031646,Ultimo,0.5588,3690.0
117031647,Waterloo,1.1339,8270.0
117031648,Zetland,0.8047,5597.0
118011339,Bondi - Tamarama - Bronte,2.4962,10637.0
118011340,Bondi Beach - North Bondi,2.4604,11740.0
118011341,Bondi Junction - Waverly,2.5235,9869.0
118011344,Dover Heights,1.8705,7489.0
118011345,Paddington - Moore Park,3.725,8231.0
118011346,Rose Bay - Vaucluse - Watsons Bay,5.1368,8182.0
118011347,Woollahra,1.2805,4451.0
118011649,Bellevue Hill,3.1556,9344.0
118011650,Double Bay - Darling Point,1.5591,6577.0
118021564,Kensington (NSW),2.6423,5411.0
118021565,Kingsford,2.0141,6025.0
118021566,Maroubra - North,1.8112,5770.0
118021567,Maroubra - South,2.065,6287.0
118021568,Maroubra - West,2.0464,6018.0
118021569,Randwick - North,1.9356,8836.0
118021570,Randwick - South,3.3725,6848.0
118021651,Coogee - Clovelly,2.7034,11109.0
118021652,Malabar - La Perouse,8.4115,7439.0
118021653,Matraville - Chifley,3.4138,8853.0
118021654,South Coogee,1.1322,3067.0
119011354,Bass Hill - Georges Hall,8.9161,14754.0
119011355,Chullora,4.0501,667.0
119011356,Condell Park,10.0036,8318.0
119011358,Padstow,6.5091,12362.0
119011360,Revesby,5.0925,12242.0
119011361,Yagoona - Birrong,5.5597,13814.0
119011571,Bankstown - North,2.7405,11974.0
119011572,Bankstown - South,4.4232,11744.0
119011655,Greenacre - North,4.0802,12202.0
119011656,Greenacre - South,2.9017,10889.0
119011657,Panania (North) - Milperra,7.5649,7973.0
119011658,Panania (South) - Picnic Point,6.8259,11447.0
119021362,Belmore - Belfield,4.5136,13139.0
119021366,Punchbowl,5.2458,13603.0
119021367,Roselands,3.6461,8871.0
119021573,Lakemba,2.1866,8286.0
119021574,Wiley Park,1.3933,4979.0
119021659,Campsie - North,1.5672,6908.0
119021660,Campsie - South,1.12,5052.0
119021661,Canterbury - South,2.0906,5279.0
119021662,Earlwood,5.5897,12152.0
119021663,Kingsgrove - North,2.6119,4165.0
119031370,Narwee - Beverly Hills,3.3909,8576.0
119031371,Oatley - Hurstville Grove,4.3549,7450.0
119031372,Peakhurst - Lugarno,7.4721,13119.0
119031373,Riverwood,2.7319,8027.0
119031374,South Hurstville - Blakehurst,6.2406,15333.0
119031664,Hurstville - Central,1.2264,5645.0
119031665,Hurstville - North,2.4137,6481.0
119031666,Mortdale - Oatley,4.4442,8574.0
119031667,Penshurst,1.6722,5850.0
119041377,Kingsgrove (South) - Bardwell Park,3.7871,8765.0
119041378,Kogarah,2.2197,6798.0
119041379,Kogarah Bay - Carlton - Allawah,3.5033,8849.0
119041380,Monterey - Brighton-le-Sands - Kyeemagh,3.3799,8218.0
119041381,Rockdale - Banksia,3.5762,11757.0
119041382,Sans Souci - Ramsgate,4.6115,11275.0
119041668,Arncliffe - Bardwell Valley,4.313,9796.0
119041669,Bexley - North,2.6007,5971.0
119041670,Bexley - South,2.6771,9994.0
119041671,Wolli Creek,0.6795,4118.0
120011383,Concord - Mortlake - Cabarita,6.3199,16709.0
120011385,Drummoyne - Rodd Point,3.7047,12366.0
120011386,Five Dock - Abbotsford,4.6202,14682.0
120011672,Concord West - North Strathfield,4.0969,7212.0
120011673,Rhodes,1.006,7047.0
120021387,Balmain,2.5815,9383.0
120021389,Lilyfield - Rozelle,3.6039,9586.0
120021674,Annandale (NSW),1.4885,5866.0
120021675,Leichhardt,2.9838,10624.0
120031392,Canterbury (North) - Ashbury,3.0278,7080.0
120031393,Croydon Park - Enfield,3.9711,11459.0
120031394,Dulwich Hill - Lewisham,2.7016,9357.0
120031395,Haberfield - Summer Hill,3.4746,8632.0
120031396,Homebush,3.8432,12680.0
120031576,Strathfield South,2.5112,2912.0
120031676,Ashfield - North,1.5609,6087.0
120031677,Ashfield - South,2.1091,5342.0
120031678,Burwood (NSW),1.905,7432.0
120031679,Croydon,2.5877,6096.0
120031680,Strathfield - East,2.5414,9046.0
120031681,Strathfield - West,3.9101,4562.0
121011399,Chatswood (West) - Lane Cove North,5.5372,13561.0
121011401,St Leonards - Naremburn,2.761,7355.0
121011682,Artarmon,1.6583,7104.0
121011683,Castle Cove - Northbridge,7.6847,8644.0
121011684,Chatswood - East,3.4093,14289.0
121011685,Greenwich - Riverview,4.5871,8865.0
121011686,Lane Cove,4.4686,9411.0
121011687,Willoughby,3.0671,8091.0
121021403,Asquith - Mount Colah,34.6889,13588.0
121021404,Berowra - Brooklyn - Cowan,81.7548,8450.0
121021406,Normanhurst - Thornleigh - Westleigh,9.9882,13184.0
121021577,Hornsby - East,2.5688,7520.0
121021578,Hornsby - West,6.2858,6789.0
121021579,Wahroonga (West) - Waitara,2.1124,6173.0
121031407,Gordon - Killara,11.6713,14190.0
121031408,Lindfield - Roseville,11.8765,15435.0
121031409,Pymble,10.2515,13471.0
121031410,St Ives,17.7774,14804.0
121031411,Turramurra,20.6426,13343.0
121031412,Wahroonga (East) - Warrawee,13.327,11818.0
121041413,Cremorne - Cammeray,3.238,11199.0
121041414,Crows Nest - Waverton,2.9668,12841.0
121041416,Neutral Bay - Kirribilli,2.2116,10805.0
121041417,North Sydney - Lavender Bay,1.9142,7931.0
121041688,Mosman - North,3.2831,9517.0
121041689,Mosman - South,5.3672,9966.0
122011418,Balgowlah - Clontarf - Seaforth,7.6104,13785.0
122011419,Manly - Fairlight,6.7351,13266.0
122021420,Avalon - Palm Beach,8.6057,10578.0
122021421,Bayview - Elanora Heights,64.583,8791.0
122021422,Newport - Bilgola,5.798,11016.0
122021690,Mona Vale - Warriewood (North),6.4617,11639.0
122021691,North Narrabeen - Warriewood (South),5.201,8939.0
122031424,Beacon Hill - Narraweena,4.3406,11577.0
122031425,Cromer,7.4915,5396.0
122031427,Forestville - Killarney Heights,8.9311,8782.0
122031429,Freshwater - Brookvale,7.1838,15875.0
122031430,Manly Vale - Allambie Heights,9.3541,13131.0
122031432,Terrey Hills - Duffys Forest,70.5438,3875.0
122031692,Belrose,13.4385,6725.0
122031693,Collaroy - Collaroy Plateau,4.1295,10104.0
122031694,Dee Why (South) - North Curl Curl,1.9915,6361.0
122031695,Dee Why - North,2.0816,11621.0
122031696,Frenchs Forest - Oxford Falls,16.6936,12849.0
122031697,Narrabeen - Wheeler Heights,3.0327,8116.0
123011433,Camden - Ellis Lane,26.1934,14264.0
123011698,Currans Hill,7.0704,4664.0
123011699,Elderslie - Narellan,15.3086,9690.0
123011700,Harrington Park,6.2329,9735.0
123011701,Mount Annan,13.2044,16695.0
123011702,Spring Farm,5.8595,3643.0
123021436,Bradbury - Wedderburn,36.6552,13303.0
123021437,Campbelltown - Woodbine,13.7477,12781.0
123021438,Claymore - Eagle Vale - Raby,22.9252,14548.0
123021441,Leumeah - Minto Heights,23.6461,11688.0
123021443,Minto - St Andrews,12.4133,17759.0
123021444,Rosemeadow - Glen Alpine,48.0827,14673.0
123021703,Denham Court - Bardia,15.5853,3035.0
123021704,Glenfield,6.9946,5563.0
123021705,Ingleburn,14.1156,16061.0
123021706,Macquarie Fields,9.0236,8108.0
123031445,Bargo,67.7705,5659.0
123031446,Douglas Park - Appin,289.946,9027.0
123031447,Picton - Tahmoor - Buxton,189.9087,15844.0
123031448,The Oaks - Oakdale,322.7354,9884.0
124011449,Blackheath - Megalong Valley,139.2166,4488.0
124011450,Blaxland - Warrimoo - Lapstone,29.6935,14495.0
124011451,Blue Mountains - North,595.0366,14.0
124011452,Katoomba - Leura,40.8734,9791.0
124011453,Lawson - Hazelbrook - Linden,46.8873,8959.0
124011454,Springwood - Winmalee,69.6647,17314.0
124011455,Wentworth Falls,21.0358,4672.0
124031457,Cambridge Park,6.5871,12021.0
124031459,Emu Plains - Leonay,13.794,12162.0
124031460,Glenmore Park - Regentville,9.233,16576.0
124031461,Jamisontown - South Penrith,9.0181,14766.0
124031462,Kingswood - Werrington,14.023,15061.0
124031463,Mulgoa - Luddenham - Orchard Hills,158.6777,8315.0
124031464,Penrith,10.3945,11339.0
124031465,Warragamba - Silverdale,63.6142,5583.0
124031707,Cranebrook - Castlereagh,48.9014,12629.0
124031708,Jordan Springs - Llandilo,22.616,5071.0
124041466,Richmond - Clarendon,74.6728,12489.0
124041467,Windsor - Bligh Park,22.73,14788.0
124041468,Yarramundi - Londonderry,81.4358,7646.0
124051469,Erskine Park,8.3944,5112.0
124051470,St Clair,7.2035,15747.0
124051580,Colyton - Oxley Park,4.6521,8183.0
124051581,St Marys - North St Marys,12.8646,11309.0
125011582,Auburn - Central,3.7326,10596.0
125011583,Auburn - North,2.0966,6999.0
125011584,Auburn - South,2.4313,5227.0
125011585,Berala,2.0865,6167.0
125011586,Lidcombe,6.4036,13803.0
125011587,Regents Park,2.0325,3755.0
125011709,Silverwater - Newington,3.934,9103.0
125011710,Wentworth Point - Sydney Olympic Park,7.3279,9737.0
125021477,Ermington - Rydalmere,9.8655,18829.0
125021478,Oatlands - Dundas Valley,6.0763,11517.0
125021711,Carlingford - East,3.7288,7628.0
125021712,Carlingford - West,6.0167,11273.0
125031479,Chester Hill - Sefton,7.2676,11808.0
125031480,Fairfield - East,5.7115,10030.0
125031481,Granville - Clyde,5.6086,14396.0
125031483,Guildford - South Granville,6.7962,14571.0
125031484,Guildford West - Merrylands West,5.4654,14666.0
125031486,Smithfield Industrial,4.3017,8.0
125031487,Yennora Industrial,2.0787,9.0
125031713,Greystanes - South,5.6504,10450.0
125031714,Merrylands - Holroyd,4.9525,13722.0
125031715,Pemulwuy - Greystanes (North),7.3982,6573.0
125031716,South Wentworthville,1.7661,4274.0
125041489,North Parramatta,7.0608,16093.0
125041490,North Rocks,5.3762,5366.0
125041491,Northmead,5.9331,13965.0
125041493,Toongabbie - Constitution Hill,7.4795,14422.0
125041494,Winston Hills,4.3479,8591.0
